CVE_MUN,Municipios,,Suma de Total,,,,,,,,
193,"Tzicatlacoyan, Puebla",Tzicatlacoyan,2,114,"Puebla, Puebla",Puebla,1082,00114,,,
198,"Xicotlán, Puebla",Xicotlán,2,115,"Quecholac, Puebla",Quecholac,8,00115,,,
204,"Yaonáhuac, Puebla",Yaonáhuac,2,116,"Quimixtlán, Puebla",Quimixtlán,6,00116,,,
212,"Zautla, Puebla",Zautla,2,117,"Rafael Lara Grajales, Puebla",Rafael Lara Grajales,4,00117,,,
8,"Ahuazotepec, Puebla",Ahuazotepec,1,118,"Los Reyes de Juárez, Puebla",Los Reyes de Juárez,1,00118,,,
12,"Aljojuca, Puebla",Aljojuca,1,119,"San Andrés Cholula, Puebla",San Andrés Cholula,67,00119,,,
16,"Aquixtla, Puebla",Aquixtla,1,120,"San Antonio Cañada, Puebla",San Antonio Cañada,0,00120,,,
18,"Atexcal, Puebla",Atexcal,1,121,"San Diego la Mesa Tochimiltzingo, Puebla",San Diego la Mesa Tochimiltzingo,0,00121,,,
20,"Atoyatempan, Puebla",Atoyatempan,1,122,"San Felipe Teotlalcingo, Puebla",San Felipe Teotlalcingo,0,00122,,,
22,"Atzitzihuacán, Puebla",Atzitzihuacán,1,123,"San Felipe Tepatlán, Puebla",San Felipe Tepatlán,2,00123,,,
23,"Atzitzintla, Puebla",Atzitzintla,1,124,"San Gabriel Chilac, Puebla",San Gabriel Chilac,4,00124,,,
99,"Cañada Morelos, Puebla",Cañada Morelos,1,125,"San Gregorio Atzompa, Puebla",San Gregorio Atzompa,3,00125,,,
50,"Chichiquila, Puebla",Chichiquila,1,126,"San Jerónimo Tecuanipan, Puebla",San Jerónimo Tecuanipan,0,00126,,,
56,"Chila de la Sal, Puebla",Chila de la Sal,1,127,"San Jerónimo Xayacatlán, Puebla",San Jerónimo Xayacatlán,1,00127,,,
33,"Cohuecan, Puebla",Cohuecan,1,128,"San José Chiapa, Puebla",San José Chiapa,1,00128,,,
39,"Cuautempan, Puebla",Cuautempan,1,129,"San José Miahuatlán, Puebla",San José Miahuatlán,3,00129,,,
42,"Cuayuca de Andrade, Puebla",Cuayuca de Andrade,1,130,"San Juan Atenco, Puebla",San Juan Atenco,1,00130,,,
65,"General Felipe Ángeles, Puebla",General Felipe Ángeles,1,131,"San Juan Atzompa, Puebla",San Juan Atzompa,0,00131,,,
66,"Guadalupe, Puebla",Guadalupe,1,132,"San Martín Texmelucan, Puebla",San Martín Texmelucan,49,00132,,,
68,"Hermenegildo Galeana, Puebla",Hermenegildo Galeana,1,133,"San Martín Totoltepec, Puebla",San Martín Totoltepec,0,00133,,,
57,"Honey, Puebla",Honey,1,134,"San Matías Tlalancaleca, Puebla",San Matías Tlalancaleca,0,00134,,,
77,"Hueytlalpan, Puebla",Hueytlalpan,1,135,"San Miguel Ixitlán, Puebla",San Miguel Ixitlán,0,00135,,,
78,"Huitzilán de Serdán, Puebla",Huitzilán de Serdán,1,136,"San Miguel Xoxtla, Puebla",San Miguel Xoxtla,2,00136,,,
86,"Jalpan, Puebla",Jalpan,1,137,"San Nicolás Buenos Aires, Puebla",San Nicolás Buenos Aires,0,00137,,,
118,"Los Reyes de Juárez, Puebla",Los Reyes de Juárez,1,138,"San Nicolás de los Ranchos, Puebla",San Nicolás de los Ranchos,4,00138,,,
97,"Mixtla, Puebla",Mixtla,1,139,"San Pablo Anicano, Puebla",San Pablo Anicano,0,00139,,,
102,"Nealtican, Puebla",Nealtican,1,140,"San Pedro Cholula, Puebla",San Pedro Cholula,91,00140,,,
103,"Nicolás Bravo, Puebla",Nicolás Bravo,1,141,"San Pedro Yeloixtlahuaca, Puebla",San Pedro Yeloixtlahuaca,0,00141,,,
107,"Olintla, Puebla",Olintla,1,142,"San Salvador el Seco, Puebla",San Salvador el Seco,18,00142,,,
111,"Pantepec, Puebla",Pantepec,1,143,"San Salvador el Verde, Puebla",San Salvador el Verde,5,00143,,,
112,"Petlalcingo, Puebla",Petlalcingo,1,144,"San Salvador Huixcolotla, Puebla",San Salvador Huixcolotla,0,00144,,,
127,"San Jerónimo Xayacatlán, Puebla",San Jerónimo Xayacatlán,1,145,"San Sebastián Tlacotepec, Puebla",San Sebastián Tlacotepec,1,00145,,,
128,"San José Chiapa, Puebla",San José Chiapa,1,146,"Santa Catarina Tlaltempan, Puebla",Santa Catarina Tlaltempan,0,00146,,,
130,"San Juan Atenco, Puebla",San Juan Atenco,1,147,"Santa Inés Ahuatempan, Puebla",Santa Inés Ahuatempan,1,00147,,,
145,"San Sebastián Tlacotepec, Puebla",San Sebastián Tlacotepec,1,148,"Santa Isabel Cholula, Puebla",Santa Isabel Cholula,4,00148,,,
147,"Santa Inés Ahuatempan, Puebla",Santa Inés Ahuatempan,1,149,"Santiago Miahuatlán, Puebla",Santiago Miahuatlán,13,00149,,,
151,"Santo Tomás Hueyotlipan, Puebla",Santo Tomás Hueyotlipan,1,150,"Huehuetlán el Grande, Puebla",Huehuetlán el Grande,0,00150,,,
159,"Teopantlán, Puebla",Teopantlán,1,151,"Santo Tomás Hueyotlipan, Puebla",Santo Tomás Hueyotlipan,1,00151,,,
162,"Tepango de Rodríguez, Puebla",Tepango de Rodríguez,1,152,"Soltepec, Puebla",Soltepec,0,00152,,,
168,"Tepexco, Puebla",Tepexco,1,153,"Tecali de Herrera, Puebla",Tecali de Herrera,19,00153,,,
176,"Tilapa, Puebla",Tilapa,1,154,"Tecamachalco, Puebla",Tecamachalco,24,00154,,,
181,"Tlaltenango, Puebla",Tlaltenango,1,155,"Tecomatlán, Puebla",Tecomatlán,0,00155,,,
185,"Tlapanalá, Puebla",Tlapanalá,1,156,"Tehuacán, Puebla",Tehuacán,132,00156,,,
190,"Totoltepec de Guerrero, Puebla",Totoltepec de Guerrero,1,157,"Tehuitzingo, Puebla",Tehuitzingo,5,00157,,,
191,"Tulcingo, Puebla",Tulcingo,1,158,"Tenampulco, Puebla",Tenampulco,2,00158,,,
192,"Tuzamapan de Galeana, Puebla",Tuzamapan de Galeana,1,159,"Teopantlán, Puebla",Teopantlán,1,00159,,,
203,"Xochitlán Todos Santos, Puebla",Xochitlán Todos Santos,1,160,"Teotlalco, Puebla",Teotlalco,0,00160,,,
206,"Zacapala, Puebla",Zacapala,1,161,"Tepanco de López, Puebla",Tepanco de López,2,00161,,,
216,"Zoquiapan, Puebla",Zoquiapan,1,162,"Tepango de Rodríguez, Puebla",Tepango de Rodríguez,1,00162,,,
5,"Acteopan, Puebla",Acteopan,0,163,"Tepatlaxco de Hidalgo, Puebla",Tepatlaxco de Hidalgo,3,00163,,,
7,"Ahuatlán, Puebla",Ahuatlán,0,164,"Tepeaca, Puebla",Tepeaca,38,00164,,,
9,"Ahuehuetitla, Puebla",Ahuehuetitla,0,165,"Tepemaxalco, Puebla",Tepemaxalco,0,00165,,,
11,"Albino Zertuche, Puebla",Albino Zertuche,0,166,"Tepeojuma, Puebla",Tepeojuma,2,00166,,,
80,"Atlequizayan, Puebla",Atlequizayan,0,167,"Tepetzintla, Puebla",Tepetzintla,4,00167,,,
21,"Atzala, Puebla",Atzala,0,168,"Tepexco, Puebla",Tepexco,1,00168,,,
24,"Axutla, Puebla",Axutla,0,169,"Tepexi de Rodríguez, Puebla",Tepexi de Rodríguez,5,00169,,,
27,"Caltepec, Puebla",Caltepec,0,170,"Tepeyahualco, Puebla",Tepeyahualco,2,00170,,,
28,"Camocuautla, Puebla",Camocuautla,0,171,"Tepeyahualco de Cuauhtémoc, Puebla",Tepeyahualco de Cuauhtémoc,0,00171,,,
